GRAMMAR,JAPANESE ,JLPT LEVEL
aida,間（あいだ）,N4
aida ni,間に（あいだに）,N4
amari~nai,あまり～ない,N4
ato de,後で（あとで）,N4
ba,ば,N4
baai wa,場合は（ばあいは）,N4
bakari,ばかり,N4
dake de,だけで,N4
dasu,出す（だす）,N4
de gozaimasu,でございます,N4
demo,でも,N4
dewa nai ka,ではないか,N4
ga hitsuyou,が必要（がひつよう）,N4
ga suru,がする,N4
gari,がり,N4
garu / gatteiru,がる / がっている,N4
gozaimasu,ございます,N4
hajimeru,始める（はじめる）,N4
hazu da,はずだ,N4
hazu ga nai,はずがない,N4
hitsuyou ga aru,必要がある（ひつようがある）,N4
ikou kei - volitional form,意向形 （いこうけい）,N4
irassharu,いらっしゃる,N4
itashimasu,いたします,N4
janai ka,じゃないか,N4
ka dou ka,かどうか,N4
ka shira,かしら,N4
kai,かい,N4
kamo shirenai,かもしれない,N4
kana,かな,N4
kara tsukuru,から作る（からつくる）,N4
kitto,きっと,N4
koro / goro,頃（ころ / ごろ）,N4
koto,こと,N4
koto ga aru,ことがある,N4
koto ga dekiru,ことができる,N4
koto ni naru,ことになる,N4
koto ni suru,ことにする,N4
ku suru,くする,N4
kyuu ni,急に（きゅうに）,N4
made ni,までに,N4
mama,まま,N4
matawa,または,N4
mitai da,みたいだ,N4
mitai na,みたいな,N4
mitai ni,みたいに,N4
mo,も,N4
na,な,N4
nado,など,N4
nagara,ながら,N4
nakanaka~nai,なかなか～ない,N4
nakereba ikenai,なければいけない,N4
nakereba naranai,なければならない,N4
nara,なら,N4
nasai,なさい,N4
nasaru,なさる,N4
ni ki ga tsuku,に気がつく（にきがつく）,N4
ni mieru,に見える（にみえる）,N4
ni suru,にする,N4
nikui,にくい,N4
no naka de,の中で（のなかで）,N4
noni,のに,N4
noni,のに,N4
nowa~da,のは〜だ,N4
o~kudasai,お～ください,N4
o~ni naru,お～になる,N4
oki ni,おきに,N4
owaru,終わる（おわる）,N4
rareru,られる,N4
rashii,らしい,N4
sa,さ,N4
sakki,さっき,N4
saserareru,させられる,N4
saseru,させる,N4
sasete kudasai,させてください,N4
sasuga,さすが,N4
shi,し,N4
sonna ni,そんなに,N4
sore demo,それでも,N4
sore ni,それに,N4
sou da [1],そうだ,N4
sou da [2],そうだ,N4
sou ni / sou na,そうに / そうな,N4
ta bakari,たばかり,N4
ta tokoro,たところ,N4
tadoushi & jidoushi,他動詞 & 自動詞（たどうし & じどうし）,N4
tagaru,たがる,N4
tara,たら,N4
tara dou,たらどう,N4
tara ii desu ka,たらいいですか,N4
te / de,て / で,N4
te ageru,てあげる,N4
te hoshii,てほしい,N4
te iku,ていく,N4
te ita,ていた,N4
te itadakemasen ka,ていただけませんか,N4
te kureru,てくれる,N4
te kuru,てくる,N4
te miru,てみる,N4
te morau,てもらう,N4
te oku,ておく,N4
te shimau / chau,てしまう / ちゃう,N4
te sumimasen,てすみません,N4
te yaru,てやる,N4
te yokatta,てよかった,N4
teiru tokoro,ているところ,N4
temo,ても,N4
to,と,N4
to ittemo ii,と言ってもいい（といってもいい）,N4
to iu,という,N4
to iu koto,ということ,N4
to iwarete iru,と言われている（といわれている）,N4
to kiita,と聞いた（ときいた）,N4
to omou,と思う（とおもう）,N4
toka~toka,とか～とか,N4
tokoro,ところ,N4
tsuzukeru,続ける（つづける）,N4
tte,って,N4
ukemi kei,受身形（うけみけい）,N4
wa~ga... wa,は〜が… は,N4
yasui,やすい,N4
yatto,やっと,N4
yori,より,N4
yotei da,予定だ（よていだ）,N4
you da,ようだ,N4
you ni / you na,ように / ような,N4
you ni naru,ようになる,N4
you ni suru,ようにする,N4
you to omou,ようと思う（ようとおもう）,N4
zehi,ぜひ,N4
zenzen~nai,全然～ない（ぜんぜん～ない）,N4
zurai,づらい,N4
cha ikenai / ja ikenai,ちゃいけない・じゃいけない,N5
da / desu,だ / です,N5
dake,だけ,N5
darou,だろう,N5
de,で,N5
demo,でも,N5
deshou,でしょう,N5
donna,どんな,N5
doushite,どうして,N5
douyatte,どうやって,N5
ga,が,N5
ga arimasu,があります,N5
ga hoshii,がほしい,N5
ga imasu,がいます,N5
hou ga ii,ほうがいい,N5
i-adjectives,い-adjectives,N5
ichiban,一番（いちばん）,N5
issho ni,一緒に（いっしょに）,N5
itsumo,いつも,N5
,,N5
janai / dewa nai,じゃない・ではない,N5
ka,か,N5
ka~ka,か～か,N5
kara,から,N5
kata,方（かた）,N5
kedo,けど,N5
keredo mo,けれども,N5
mada,まだ,N5
mada ~te imasen,まだ～ていません,N5
made,まで,N5
mae ni,前に（まえに）,N5
masen ka,ませんか,N5
mashou,ましょう,N5
mashouka,ましょうか,N5
mo,も,N5
mou,もう,N5
na-adjectives,な-adjectives,N5
naa,なあ,N5
naide,ないで,N5
naide kudasai,ないでください,N5
naito ikenai,ないといけない,N5
naku temo ii,なくてもいい,N5
nakucha,なくちゃ,N5
nakute wa ikenai,なくてはいけない,N5
nakute wa naranai,なくてはならない,N5
naru,なる,N5
ndesu,んです,N5
ne,ね,N5
ni,に,N5
ni iku,に行く（にいく）,N5
ni suru,にする,N5
ni/e,に/へ,N5
no,の,N5
no desu,のです,N5
no ga heta,のが下手（のがへた）,N5
no ga jouzu,のが上手（のがじょうず）,N5
no ga suki,のが好き（のがすき）,N5
no naka de [A] ga ichiban,の中で[A]が一番（のなかで[A]がいちばん）,N5
node,ので,N5
o / go,お / ご,N5
o / wo,を,N5
o kudasai,をください,N5
shikashi,しかし,N5
sore kara,それから,N5
soshite,そして,N5
sugiru,すぎる,N5
ta koto ga aru,たことがある,N5
tai,たい,N5
tari~tari,たり～たり,N5
te aru,てある,N5
te iru,ている,N5
te kara,てから,N5
te kudasai,てください,N5
te wa ikenai,てはいけない,N5
temo ii desu,てもいいです,N5
to,と,N5
toki,とき,N5
totemo,とても,N5
tsumori,つもり,N5
wa - topic marker,は,N5
wa ~yori... desu,は〜より・・・です,N5
wa dou desu ka,はどうですか,N5
ya,や,N5
yo,よ,N5
yori ~hou ga,より～ほうが,N5